"","code_id","type_id","group_id","code_name","group_name","specific_type_id"
"40","99395","CPT","CT99310","Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of appropriat","Preventive Medicine, Counseling, Coordination",""
"41","99396","CPT","CT99310","Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of appropriat","Preventive Medicine, Counseling, Coordination",""
"42","99397","CPT","CT99310","Periodic comprehensive preventive medicine reevaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of appropriat","Preventive Medicine, Counseling, Coordination",""
"43","99401","CPT","CT99310","Preventive medicine counseling and/or risk factor reduction intervention(s) provided to an individual (separate procedure); approximately 15 minutes","Preventive Medicine, Counseling, Coordination",""
"44","99402","CPT","CT99310","Preventive medicine counseling and/or risk factor reduction intervention(s) provided to an individual (separate procedure); approximately 30 minutes","Preventive Medicine, Counseling, Coordination",""
"45","99403","CPT","CT99310","Preventive medicine counseling and/or risk factor reduction intervention(s) provided to an individual (separate procedure); approximately 45 minutes","Preventive Medicine, Counseling, Coordination",""
"46","99404","CPT","CT99310","Preventive medicine counseling and/or risk factor reduction intervention(s) provided to an individual (separate procedure); approximately 60 minutes","Preventive Medicine, Counseling, Coordination",""
"47","99411","CPT","CT99310","Preventive medicine counseling and/or risk factor reduction intervention(s) provided to individuals in a group setting (separate procedure); approximately 30 minutes","Preventive Medicine, Counseling, Coordination",""
"48","99412","CPT","CT99310","Preventive medicine counseling and/or risk factor reduction intervention(s) provided to individuals in a group setting (separate procedure); approximately 60 minutes","Preventive Medicine, Counseling, Coordination",""
"49","99420","CPT","CT9907","Administration and interpretation of health risk assessment instrument (eg, health hazard appraisal)","E & M - prevention",""
"50","99429","CPT","CT99310","Unlisted preventive medicine service","Preventive Medicine, Counseling, Coordination",""
"51","G0246","HCPC","CT99310","follow-up physician evaluation and management of a diabetic patient with diabetic sensory neuropathy resulting in a loss of protective sensation (lops) to include at least the following: (1) a patient history, (2) a physical examination that includes","Preventive Medicine, Counseling, Coordination",""
"52","G0247","HCPC","CT99310","routine foot care by a physician of a diabetic patient with diabetic sensory neuropathy resulting in a loss of protective sensation (lops) to include, the local care of superficial wounds (i.e. superficial to muscle and fascia) and at least the follo","Preventive Medicine, Counseling, Coordination",""
"53","G0250","HCPC","CT16289","physician review, interpretation, and patient management of home inr testing for a patient with either mechanical heart valve(s), chroic atrial fibrillation, or venous thromboembolism who meets medicare coverage criteria; includes face-to-face verifi","Anticoagulant Management",""
"54","G0420","HCPC","CT9908","Ed svc CKD ind per session","E & M - other",""
"55","G0421","HCPC","CT9908","Ed svc CKD grp per session","E & M - other",""
"56","99218","CPT","CT9903","A detailed or comprehensive history; A detailed or comprehensive examination; and Medical decision making that is straightforward or of low complexity. Initial observation care, per day, for the evaluation and management of a patient which requires t","E & M - hospital",""
"57","99219","CPT","CT9903","Initial observation care, per day, for the evaluation and management of a patient, which requires these three key components: A comprehensive history; A comprehensive examination; and Medical decision making of moderate complexity. Counseling and/or ","E & M - hospital",""
"58","99220","CPT","CT9903","Initial observation care, per day, for the evaluation and management of a patient, which requires these three key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coor","E & M - hospital",""
"59","99221","CPT","CT9903","Initial hospital care, per day, for the evaluation and management of a patient, which requires these three key components: A detailed or comprehensive history; A detailed or comprehensive examination; and Medical decision making that is straightforwa","E & M - hospital",""
"60","99222","CPT","CT9903","Initial hospital care, per day, for the evaluation and management of a patient, which requires these three key components: A comprehensive history; A comprehensive examination; and Medical decision making of moderate complexity. Counseling and/or coo","E & M - hospital",""
"61","99223","CPT","CT9903","Initial hospital care, per day, for the evaluation and management of a patient, which requires these three key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordin","E & M - hospital",""
"62","99431","CPT","CT1501","History and examination of the normal newborn infant, initiation of diagnostic and treatment programs and preparation of hospital records. (This code should also be used for birthing room deliveries.)","E & M - newborn care",""
"63","99435","CPT","CT1501","History and examination of the normal newborn infant, including the preparation of medical records. (This code should only be used for newborns assessed and discharged from the hospital or birthing room on the same date.)","E & M - newborn care",""
"64","G0378","HCPC","CT9903","hospital observation service, per hour","E & M - hospital",""
"65","G0379","HCPC","CT2331","direct admission of patient for hospital observation care","Other care - observation",""
"66","94003","CPT","CT0443","Ventilation assist and management, initiation of pressure or volume preset ventilators for assisted or controlled breathing; hospital inpatient/observation, each subsequent day","Other care - respiratory - other",""
"67","99217","CPT","CT9903","Observation care discharge day management (This code is to be utilized by the physician to report all services provided to a patient on discharge from ""observation status"""" if the discharge is on other than the initial date of """"observation status.""""","E & M - hospital",""
"68","99224","CPT","CT9905","Subsequent observation care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: Problem focused interval history; Problem focused examination; Medical decision making that is straightforward ","E & M - home visit",""
"69","99225","CPT","CT9905","Subsequent observation care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: An expanded problem focused interval history; An expanded problem focused examination; Medical decision making ","E & M - home visit",""
"70","99226","CPT","CT9905","Subsequent observation care, per day, for the evaluation and management of a patient, which requires at least 2 of these 3 key components: A detailed interval history; A detailed examination; Medical decision making of high complexity. Counseling and","E & M - home visit",""
"71","99231","CPT","CT9903","Subsequent hospital care, per day, for the evaluation and management of a patient, which requires at least two of these three key components: A problem focused interval history; A problem focused examination; Medical decision making that is straightf","E & M - hospital",""
"72","99232","CPT","CT9903","Subsequent hospital care, per day, for the evaluation and management of a patient, which requires at least two of these three key components: An expanded problem focused interval history; An expanded problem focused examination; Medical decision maki","E & M - hospital",""
"73","99233","CPT","CT9903","Subsequent hospital care, per day, for the evaluation and management of a patient, which requires at least two of these three key components: A detailed interval history; A detailed examination; Medical decision making of high complexity. Counseling ","E & M - hospital",""
"74","99234","CPT","CT9903","Observation or inpatient hospital care, for the evaluation and management of a patient including admission and discharge on the same date which requires these three key components: A detailed or comprehensive history; A detailed or comprehensive exam","E & M - hospital",""
"75","99235","CPT","CT9903","Observation or inpatient hospital care, for the evaluation and management of a patient including admission and discharge on the same date which requires these three key components: A comprehensive history; A comprehensive examination; and Medical dec","E & M - hospital",""
"76","99236","CPT","CT9903","Observation or inpatient hospital care, for the evaluation and management of a patient including admission and discharge on the same date which requires these three key components: A comprehensive history; A comprehensive examination; and Medical dec","E & M - hospital",""
"77","99238","CPT","CT9903","Hospital discharge day management; 30 minutes or less","E & M - hospital",""
"78","99239","CPT","CT9903","Hospital discharge day management; more than 30 minutes","E & M - hospital",""
"79","99356","CPT","CT99309","Prolonged physician service in the inpatient setting, requiring direct (face-to-face) patient contact beyond the usual service (eg, maternal fetal monitoring for high risk delivery or other physiological monitoring, prolonged care of an acutely ill i","Physician Services",""
"80","99357","CPT","CT99309","Prolonged physician service in the inpatient setting, requiring direct (face-to-face) patient contact beyond the usual service (eg, maternal fetal monitoring for high risk delivery or other physiological monitoring, prolonged care of an acutely ill i","Physician Services",""
"81","99433","CPT","CT1501","Subsequent hospital care, for the evaluation and management of a normal newborn, per day","E & M - newborn care",""
"82","94002","CPT","CT0443","Ventilation assist and management, initiation of pressure or volume preset ventilators for assisted or controlled breathing; hospital inpatient/observation, initial day","Other care - respiratory - other",""
"83","94660","CPT","CT0433","Continuous positive airway pressure ventilation (CPAP), initiation and management","Other care - respiratory - ventillator management",""
"84","94662","CPT","CT0433","Continuous negative pressure ventilation (CNP), initiation and management","Other care - respiratory - ventillator management",""
"85","99291","CPT","CT9903","Critical care, evaluation and management of the critically ill or critically injured patient; first 30-74 minutes","E & M - hospital",""
"86","99292","CPT","CT9903","Critical care, evaluation and management of the critically ill or critically injured patient; each additional 30 minutes (List separately in addition to code for primary service)","E & M - hospital",""
"87","99293","CPT","CT9903","Initial inpatient pediatric critical care, per day, for the evaluation and management of a critically ill infant or young child, 29 days through 24 months of age","E & M - hospital",""
"88","99294","CPT","CT9903","Subsequent inpatient pediatric critical care, per day, for the evaluation and management of a critically ill infant or young child, 29 days through 24 months of age","E & M - hospital",""
"89","99295","CPT","CT9903","Initial inpatient neonatal critical care, per day, for the evaluation and management of a critically ill neonate, 28 days of age or less","E & M - hospital",""
"90","99296","CPT","CT9903","Subsequent inpatient neonatal critical care, per day, for the evaluation and management of a critically ill neonate, 28 days of age or less","E & M - hospital",""
"91","99298","CPT","CT9903","Subsequent intensive care, per day, for the evaluation and management of the recovering very low birth weight infant (present body weight less than 1500 g)","E & M - hospital",""
"92","99299","CPT","CT9903","Subsequent intensive care, per day, for the evaluation and management of the recovering low birth weight infant (present body weight of 1500-2500 g)","E & M - hospital",""
"93","99440","CPT","CT1501","Newborn resuscitation: provision of positive pressure ventilation and/or chest compressions in the presence of acute inadequate ventilation and/or cardiac output","E & M - newborn care",""
"94","99466","CPT","CT9903","Critical care services delivered by a physician, face-to-face, during an interfacility transport of critically ill or critically injured pediatric patient, 24 months of age or younger; first 30-74 minutes of hands-on care during transport","E & M - hospital",""
"95","99467","CPT","CT9903","PED CRIT CARE TRANSPORT ADDL","E & M - hospital",""
"96","99468","CPT","CT9903","NEONATE CRIT CARE, INITIAL","E & M - hospital",""
"97","99469","CPT","CT9903","NEONATE CRIT CARE, SUBSQ","E & M - hospital",""
"98","99471","CPT","CT9903","PED CRITICAL CARE, INITIAL","E & M - hospital",""
"99","99472","CPT","CT9903","PED CRITICAL CARE, SUBSQ","E & M - hospital",""
"100","99475","CPT","CT9903","Initial inpatient pediatric critical care, per day, for the evaluation and management of a critically ill infant or young child, 2 through 5 years of age","E & M - hospital",""
"101","99476","CPT","CT9903","PED CRIT CARE AGE 2-5, SUBSQ","E & M - hospital",""
"102","99480","CPT","CT9903","IC INF PBW 2501-5000 G SUBSQ","E & M - hospital",""
"103","99026","CPT","CT9908","Hospital mandated on call service; in-hospital, each hour","E & M - other",""
"104","99027","CPT","CT9908","Hospital mandated on call service; out-of-hospital, each hour","E & M - other",""
"105","99175","CPT","CT0659","Ipecac or similar administration for individual emesis and continued observation until stomach adequately emptied of poison","Procedure - other lower gi procedures - other non - or rx",""
"106","99281","CPT","CT9904","Emergency department visit for the evaluation and management of a patient, which requires these three key components: A problem focused history; A problem focused examination; and Straightforward medical decision making. Counseling and/or coordinatio","E & M - emergency care",""
"107","99282","CPT","CT9904","Emergency department visit for the evaluation and management of a patient, which requires these three key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of low complexity. Counsel","E & M - emergency care",""
"108","99283","CPT","CT9904","Emergency department visit for the evaluation and management of a patient, which requires these three key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of moderate complexity. Co","E & M - emergency care",""
"109","99284","CPT","CT9904","Emergency department visit for the evaluation and management of a patient, which requires these three key components: A detailed history; A detailed examination; and Medical decision making of moderate complexity. Counseling and/or coordination of ca","E & M - emergency care",""
"110","99285","CPT","CT9904","Emergency department visit for the evaluation and management of a patient, which requires these three key components within the constraints imposed by the urgency of the patient's clinical condition and/or mental status: A comprehensive history; A co","E & M - emergency care",""
"111","99288","CPT","CT9908","Physician direction of emergency medical systems (EMS) emergency care, advanced life support","E & M - other",""
"112","99289","CPT","CT9908","Critical care services delivered by a physician, face-to-face, during an interfacility transport of critically ill or critically injured pediatric patient, 24 months of age or less; first 30-74 minutes of hands on care during transport","E & M - other",""
"113","99290","CPT","CT9908","Critical care services delivered by a physician, face-to-face, during an interfacility transport of critically ill or critically injured pediatric patient, 24 months of age or less; each additional 30 minutes (List separately in addition to code for ","E & M - other",""
"114","99485","CPT","CT9908","Supervision by a control physician of interfacility transport care of the critically ill or critically injured pediatric patient, 24 months of age or younger, includes two-way communication with transport team before transport, at the referring facil","E & M - other",""
"115","G0380","HCPC","CT9904","level 1 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requirements: (1) it is licensed by the state in which it is located under applicable state law as an emergency roo","E & M - emergency care",""
"116","G0381","HCPC","CT9904","level 2 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requirements: (1) it is licensed by the state in which it is located under applicable state law as an emergency roo","E & M - emergency care",""
"117","G0382","HCPC","CT9904","level 3 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requirements: (1) it is licensed by the state in which it is located under applicable state law as an emergency roo","E & M - emergency care",""
"118","G0383","HCPC","CT9904","level 4 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requirements: (1) it is licensed by the state in which it is located under applicable state law as an emergency roo","E & M - emergency care",""
"119","G0384","HCPC","CT9904","level 5 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requirements: (1) it is licensed by the state in which it is located under applicable state law as an emergency roo","E & M - emergency care",""
"120","94005","CPT","CT0443","Home ventilator management care plan oversight of a patient (patient not present) in home, domiciliary or rest home (eg, assisted living) requiring review of status, review of laboratories and other studies and revision of orders and respiratory care","Other care - respiratory - other",""
"121","99341","CPT","CT9905","Home visit for the evaluation and management of a new patient, which requires these three key components: A problem focused history; A problem focused examination; and Straightforward medical decision making. Counseling and/or coordination of care wi","E & M - home visit",""
"122","99342","CPT","CT9905","Home visit for the evaluation and management of a new patient, which requires these three key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of low complexity. Counseling and/or c","E & M - home visit",""
"123","99343","CPT","CT9905","Home visit for the evaluation and management of a new patient, which requires these three key components: A detailed history; A detailed examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care with othe","E & M - home visit",""
"124","99344","CPT","CT9905","Home visit for the evaluation and management of a new patient, which requires these three components: A comprehensive history; A comprehensive examination; and Medical decision making of moderate complexity. Counseling and/or coordination of care wit","E & M - home visit",""
"125","99345","CPT","CT9905","Home visit for the evaluation and management of a new patient, which requires these three key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coordination of care wit","E & M - home visit",""
"126","99347","CPT","CT9905","Home visit for the evaluation and management of an established patient, which requires at least two of these three key components: A problem focused interval history; A problem focused examination; Straightforward medical decision making. Counseling ","E & M - home visit",""
"127","99348","CPT","CT9905","Home visit for the evaluation and management of an established patient, which requires at least two of these three key components: An expanded problem focused interval history; An expanded problem focused examination; Medical decision making of low c","E & M - home visit",""
"128","99349","CPT","CT9905","Home visit for the evaluation and management of an established patient, which requires at least two of these three key components: A detailed interval history; A detailed examination; Medical decision making of moderate complexity. Counseling and/or ","E & M - home visit",""
"129","99350","CPT","CT9905","Home visit for the evaluation and management of an established patient, which requires at least two of these three key components: A comprehensive interval history; A comprehensive examination; Medical decision making of moderate to high complexity. ","E & M - home visit",""
"130","99600","CPT","CT9964","Unlisted home visit service or procedure","Other care - home care - specialized visit",""
"131","99601","CPT","CT1639","Home infusion/specialty drug administration, per visit (up to 2 hours);","Rx - administration - infusion",""
"132","99602","CPT","CT1639","Home infusion/specialty drug administration, per visit (up to 2 hours); each additional hour (List separately in addition to code for primary procedure)","Rx - administration - infusion",""
"133","94004","CPT","CT0443","Ventilation assist and management, initiation of pressure or volume preset ventilators for assisted or controlled breathing; nursing facility, per day","Other care - respiratory - other",""
"134","99300","CPT","CT9903","Subsequent intensive care, per day, for the evaluation and management of the recovering infant (present body weight of 2501-5000 g)","E & M - hospital",""
"135","99304","CPT","CT9906","Initial nursing facility care, per day, for the evaluation and management of a patient which requires these three key components: A detailed or comprehensive history; A detailed or comprehensive examination; and Medical decision making that is straig","E & M - nursing home",""
"136","99305","CPT","CT9906","Initial nursing facility care, per day, for the evaluation and management of a patient which requires these three key components: A comprehensive history; A comprehensive examination; and Medical decision making of moderate complexity. Counseling and","E & M - nursing home",""
"137","99306","CPT","CT9906","Initial nursing facility care, per day, for the evaluation and management of a patient, which requires these three key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or","E & M - nursing home",""
"138","99307","CPT","CT9906","Subsequent nursing facility care, per day, for the evaluation and management of a patient, which requires at least two of these three key components: A problem focused interval history; A problem focused examination; Straightforward medical decision ","E & M - nursing home",""
"139","99308","CPT","CT9906","Subsequent nursing facility care, per day, for the evaluation and management of a patient, which requires at least two of these three key components: An expanded problem focused interval history; An expanded problem focused examination; Medical decis","E & M - nursing home",""
"140","99309","CPT","CT9906","Subsequent nursing facility care, per day, for the evaluation and management of a patient, which requires at least two of these three key components: A detailed interval history; A detailed examination; Medical decision making of moderate complexity.","E & M - nursing home",""
"141","99310","CPT","CT9906","Subsequent nursing facility care, per day, for the evaluation and management of a patient, which requires at least two of these three key components: A comprehensive interval history; A comprehensive examination; Medical decision making of high compl","E & M - nursing home",""
"142","99315","CPT","CT9906","Nursing facility discharge day management; 30 minutes or less","E & M - nursing home",""
"143","99316","CPT","CT9906","Nursing facility discharge day management; more than 30 minutes","E & M - nursing home",""
"144","99318","CPT","CT9906","Evaluation and management of a patient involving an annual nursing facility assessment, which requires these three key components: A detailed interval history; A comprehensive examination; and Medical decision making that is of low to moderate comple","E & M - nursing home",""
"145","99324","CPT","CT9906","Domiciliary or rest home visit for the evaluation and management of a new patient, which requires these three key components: A problem focused history; A problem focused examination; and Straightforward medical decision making. Counseling and/or coo","E & M - nursing home",""
"146","99325","CPT","CT9906","Domiciliary or rest home visit for the evaluation and management of a new patient, which requires these three key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of low complexity.","E & M - nursing home",""
"147","99326","CPT","CT9906","Domiciliary or rest home visit for the evaluation and management of a new patient, which requires these three key components: A detailed history; A detailed examination; and Medical decision making of moderate complexity. Counseling and/or coordinati","E & M - nursing home",""
"148","99327","CPT","CT9906","Domiciliary or rest home visit for the evaluation and management of a new patient, which requires these three key components: A comprehensive history; A comprehensive examination; and Medical decision making of moderate complexity. Counseling and/or ","E & M - nursing home",""
"149","99328","CPT","CT9906","Domiciliary or rest home visit for the evaluation and management of a new patient, which requires these three key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/or coor","E & M - nursing home",""
"150","99334","CPT","CT9906","Domiciliary or rest home visit for the evaluation and management of an established patient, which requires at least two of these three key components: A problem focused interval history; A problem focused examination; Straightforward medical decision","E & M - nursing home",""
"151","99335","CPT","CT9906","Domiciliary or rest home visit for the evaluation and management of an established patient, which requires at least two of these three key components: An expanded problem focused interval history; An expanded problem focused examination; Medical deci","E & M - nursing home",""
"152","99336","CPT","CT9906","Domiciliary or rest home visit for the evaluation and management of an established patient, which requires at least two of these three key components: A detailed interval history; A detailed examination; Medical decision making of moderate complexity","E & M - nursing home",""
"153","99337","CPT","CT9906","Domiciliary or rest home visit for the evaluation and management of an established patient, which requires at least two of these three key components: A comprehensive interval history; A comprehensive examination; Medical decision making of moderate ","E & M - nursing home",""
"154","88387","CPT","CT99148","Macroscopic examination, dissection, and preparation of tissue for non-microscopic analytical studies (eg, nucleic acid-based molecular studies); each tissue preparation (eg, a single lymph node)","Lab - surgical pathology",""
"155","88388","CPT","CT99148","Macroscopic examination, dissection, and preparation of tissue for non-microscopic analytical studies (eg, nucleic acid-based molecular studies); in conjunction with a touch imprint, intraoperative consultation, or frozen section, each tissue prepara","Lab - surgical pathology",""
"156","90785","CPT","CT19303","Interactive complexity (List separately in addition to the code for primary procedure)","Psychiatry Evaluations",""
"157","90791","CPT","CT19303","Psychiatric diagnostic evaluation","Psychiatry Evaluations",""
"158","90792","CPT","CT19303","Psychiatric diagnostic evaluation with medical services","Psychiatry Evaluations",""
"159","90801","CPT","CT19303","Psychiatric diagnostic interview examination","Psychiatry Evaluations",""
"160","90802","CPT","CT19303","Interactive psychiatric diagnostic interview examination using play equipment, physical devices, language interpreter, or other mechanisms of communication","Psychiatry Evaluations",""
"161","90804","CPT","CT19304","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an office or outpatient facility, approximately 20 to 30 minutes face-to-face with the patient;","Psychiatry Services",""
"162","90805","CPT","CT19304","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an office or outpatient facility, approximately 20 to 30 minutes face-to-face with the patient; with medical evaluation and management services","Psychiatry Services",""
"163","90806","CPT","CT19304","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an office or outpatient facility, approximately 45 to 50 minutes face-to-face with the patient;","Psychiatry Services",""
"164","90807","CPT","CT19304","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an office or outpatient facility, approximately 45 to 50 minutes face-to-face with the patient; with medical evaluation and management services","Psychiatry Services",""
"165","90808","CPT","CT19304","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an office or outpatient facility, approximately 75 to 80 minutes face-to-face with the patient;","Psychiatry Services",""
"166","90809","CPT","CT19304","Individual psychotherapy, insight oriented, behavior modifying and/or supportive, in an office or outpatient facility, approximately 75 to 80 minutes face-to-face with the patient; with medical evaluation and management services","Psychiatry Services",""
